time_utc,open,high,low,close,volume
2026-09-10T19:45,709.135,709.35,708.89,709.18,387626
2026-09-10T19:50,709.17,709.39,708.28,708.61,760363
2026-09-10T19:55,708.58,708.85,708.35,708.69,1611447
2026-09-11T13:30,715.0,715.84,713.93,715.7037,1078474
2026-09-11T13:35,715.68,715.97,714.57,715.1,708479
2026-09-11T13:40,715.2538,716.18,714.0903,716.0,664466
2026-09-11T13:45,715.985,716.931,715.18,716.015,676262
2026-09-11T13:50,716.06,716.295,714.76,715.83,402292
2026-09-11T13:55,715.82,717.04,715.57,716.865,319262
2026-09-11T14:00,716.93,716.93,714.9151,715.0,446771
2026-09-11T14:05,714.98,715.3748,714.41,715.05,320562
2026-09-11T14:10,715.06,715.76,714.705,715.07,442494
2026-09-11T14:15,715.11,716.1699,714.57,716.12,467728
2026-09-11T14:20,716.12,716.67,715.99,716.2,343355
2026-09-11T14:25,716.265,716.83,716.13,716.46,266487
2026-09-11T14:30,716.5,716.55,715.43,715.54,405279
2026-09-11T14:35,715.44,715.5214,714.5,714.89,627800
2026-09-11T14:40,714.895,715.4599,714.11,714.56,328500
2026-09-11T14:45,714.56,715.1899,713.65,715.17,705097
2026-09-11T14:50,715.17,715.22,714.41,714.48,270983
2026-09-11T14:55,714.49,714.65,714.0,714.49,222627
2026-09-11T15:00,714.4493,715.28,714.27,715.2701,251675
2026-09-11T15:05,715.2777,715.98,715.22,715.69,354826
2026-09-11T15:10,715.705,715.8,714.6,715.08,209413
2026-09-11T15:15,715.08,716.29,715.08,716.12,294268
2026-09-11T15:20,716.14,716.73,716.08,716.68,159011
2026-09-11T15:25,716.6801,717.45,716.6,717.275,464610
2026-09-11T15:30,717.27,717.62,717.09,717.29,258918
2026-09-11T15:35,717.28,717.325,716.74,717.05,146492
2026-09-11T15:40,717.05,717.23,716.8301,717.11,105947
2026-09-11T15:45,717.1,717.1,716.7,716.9,112939
2026-09-11T15:50,716.91,717.049,716.245,716.39,156784
2026-09-11T15:55,716.38,716.7,716.22,716.46,212190
2026-09-11T16:00,716.46,717.2,716.45,717.185,131194
2026-09-11T16:05,717.21,717.26,716.67,716.9,100405
2026-09-11T16:10,716.89,716.97,716.32,716.3899,95371
2026-09-11T16:15,716.35,716.46,716.06,716.125,122238
2026-09-11T16:20,716.17,716.25,715.77,715.86,197824
2026-09-11T16:25,715.875,716.1,715.18,715.25,355573
2026-09-11T16:30,715.2763,716.22,715.12,715.96,271450
2026-09-11T16:35,715.91,715.9199,715.17,715.1903,96583
2026-09-11T16:40,715.185,716.04,715.05,716.0,102836
2026-09-11T16:45,715.99,716.0678,715.57,715.605,61243
2026-09-11T16:50,715.555,715.92,715.555,715.9,66159
2026-09-11T16:55,715.91,716.13,715.85,716.085,185349
2026-09-11T17:00,716.11,716.41,716.1,716.2,150367
2026-09-11T17:05,716.2006,716.79,716.2006,716.49,144156
2026-09-11T17:10,716.495,716.645,716.09,716.1101,123290
2026-09-11T17:15,716.14,716.74,716.14,716.625,117873
2026-09-11T17:20,716.63,717.045,716.62,717.04,260405
2026-09-11T17:25,717.03,717.13,716.765,716.765,118013
2026-09-11T17:30,716.72,717.09,716.71,716.75,120441
2026-09-11T17:35,716.78,716.8997,716.65,716.69,102211
2026-09-11T17:40,716.6801,716.94,716.6401,716.76,181771
2026-09-11T17:45,716.75,716.89,716.56,716.84,273228
2026-09-11T17:50,716.87,716.88,716.7515,716.765,182726
2026-09-11T17:55,716.79,716.82,716.44,716.51,109885
2026-09-11T18:00,716.53,716.71,716.46,716.57,89584
2026-09-11T18:05,716.55,716.555,716.31,716.36,246224
2026-09-11T18:10,716.385,716.39,716.1799,716.2401,232183
2026-09-11T18:15,716.27,716.37,716.09,716.25,146501
2026-09-11T18:20,716.259,716.27,715.72,716.0,525486
2026-09-11T18:25,716.01,716.36,715.915,716.285,141874
2026-09-11T18:30,716.28,716.64,716.04,716.57,187058
2026-09-11T18:35,716.62,716.67,716.3,716.39,83979
2026-09-11T18:40,716.4,716.46,716.11,716.18,96260
2026-09-11T18:45,716.19,716.34,715.97,716.03,135957
2026-09-11T18:50,716.0,716.09,715.91,715.94,111875
2026-09-11T18:55,715.93,716.185,715.88,715.9401,195226
2026-09-11T19:00,715.98,716.05,715.79,715.861,158376
2026-09-11T19:05,715.89,716.0,715.5601,715.62,139912
2026-09-11T19:10,715.606,715.6937,715.3923,715.6,111215
2026-09-11T19:15,715.655,715.86,715.57,715.69,98819
2026-09-11T19:20,715.705,715.83,715.57,715.82,110472
2026-09-11T19:25,715.81,715.88,715.54,715.605,104171
2026-09-11T19:30,715.59,715.7199,715.55,715.71,151599
2026-09-11T19:35,715.71,715.74,715.57,715.67,266117
2026-09-11T19:40,715.67,715.89,715.66,715.79,305977
2026-09-11T19:45,715.79,715.905,715.53,715.59,1683146
2026-09-11T19:50,715.58,715.665,715.11,715.475,494577
2026-09-11T19:55,715.45,715.45,714.74,714.88,1691511
2026-09-14T13:30,703.29,703.99,702.75,703.34,1810159
2026-09-14T13:35,703.32,703.675,702.77,702.9599,1003134
2026-09-14T13:40,702.96,704.53,702.83,704.485,700589
2026-09-14T13:45,704.49,706.74,704.48,706.4413,1345616
2026-09-14T13:50,706.44,706.65,705.6,705.815,723748
2026-09-14T13:55,705.81,706.11,705.42,705.785,470686
2026-09-14T14:00,705.7401,706.605,705.7,706.235,402511
2026-09-14T14:05,706.21,707.48,706.14,707.24,467882
2026-09-14T14:10,707.205,707.7699,707.205,707.42,606634
2026-09-14T14:15,707.43,707.62,706.395,706.72,542770
2026-09-14T14:20,706.71,706.74,705.76,705.81,418343
2026-09-14T14:25,705.7699,705.91,705.11,705.78,548337
2026-09-14T14:30,705.7924,706.1,705.39,706.055,297739
2026-09-14T14:35,706.025,706.025,704.65,704.95,330034
2026-09-14T14:40,704.91,705.44,704.5901,705.44,313156
2026-09-14T14:45,705.45,706.11,705.34,705.7635,263524
2026-09-14T14:50,705.82,705.83,705.03,705.19,226169
2026-09-14T14:55,705.21,705.95,704.93,705.91,169213
2026-09-14T15:00,705.905,706.03,705.27,705.33,268811
2026-09-14T15:05,705.3,707.55,705.3,706.559,710277
2026-09-14T15:10,706.615,706.74,706.15,706.16,171950
2026-09-14T15:15,706.16,707.12,706.05,707.0,190662
2026-09-14T15:20,707.01,707.45,706.75,707.375,308400
2026-09-14T15:25,707.33,707.76,707.16,707.55,270346
2026-09-14T15:30,707.53,709.59,707.38,709.5762,754966
2026-09-14T15:35,709.4899,709.97,709.06,709.83,419888
2026-09-14T15:40,709.84,710.6466,709.56,710.435,648198
2026-09-14T15:45,710.46,710.5,709.76,709.785,555069
2026-09-14T15:50,709.795,710.1063,709.56,710.001,287362
2026-09-14T15:55,710.02,710.13,709.71,709.8376,197897
2026-09-14T16:00,709.79,709.8849,709.1,709.1,232665
2026-09-14T16:05,709.03,709.34,708.84,708.995,419745
2026-09-14T16:10,709.0,709.5999,708.96,709.49,181941
2026-09-14T16:15,709.48,711.039,709.48,710.815,348264
2026-09-14T16:20,710.815,711.12,710.43,710.895,216666
2026-09-14T16:25,710.885,710.94,710.165,710.3,121134
2026-09-14T16:30,710.19,710.62,710.12,710.24,235112
2026-09-14T16:35,710.24,710.5491,710.05,710.49,119874
2026-09-14T16:40,710.475,710.9,710.335,710.9,239239
2026-09-14T16:45,710.94,712.3,710.5901,711.965,546772
2026-09-14T16:50,711.97,712.22,711.72,711.76,392667
2026-09-14T16:55,711.76,711.92,711.4,711.86,139405
2026-09-14T17:00,711.86,712.02,711.49,711.67,106351
2026-09-14T17:05,711.65,711.7999,711.39,711.67,124411
2026-09-14T17:10,711.69,712.2862,711.62,711.755,104848
2026-09-14T17:15,711.755,711.935,711.36,711.5999,103274
2026-09-14T17:20,711.61,712.02,711.5405,711.93,173668
2026-09-14T17:25,711.97,712.35,711.8,712.348,348526
2026-09-14T17:30,712.35,712.5,712.11,712.28,443794
2026-09-14T17:35,712.305,712.49,712.09,712.485,96586
2026-09-14T17:40,712.4701,712.5,712.22,712.381,152738
2026-09-14T17:45,712.4,712.7,712.39,712.615,99128
2026-09-14T17:50,712.63,712.84,712.54,712.735,134142
2026-09-14T17:55,712.74,712.95,712.4,712.413,164280
2026-09-14T18:00,712.455,712.865,712.2,712.295,181508
2026-09-14T18:05,712.285,712.59,712.1022,712.51,134643
2026-09-14T18:10,712.53,712.53,712.231,712.435,87118
2026-09-14T18:15,712.47,712.62,712.19,712.275,133561
2026-09-14T18:20,712.265,712.3,711.92,711.92,139029
2026-09-14T18:25,711.91,712.06,711.812,711.91,200571
2026-09-14T18:30,711.95,712.27,711.85,712.1301,292913
2026-09-14T18:35,712.13,712.41,712.045,712.259,89244
2026-09-14T18:40,712.2125,712.42,712.13,712.13,182317
2026-09-14T18:45,712.15,712.23,711.8,712.18,230794
2026-09-14T18:50,712.175,712.25,711.98,712.04,79195
2026-09-14T18:55,711.99,712.1,711.7425,711.84,97363
2026-09-14T19:00,711.83,711.86,711.4801,711.63,200971
2026-09-14T19:05,711.615,711.67,711.135,711.305,195707
2026-09-14T19:10,711.31,711.435,711.12,711.23,209499
2026-09-14T19:15,711.24,711.24,710.9501,711.16,178350
2026-09-14T19:20,711.15,711.21,710.855,711.042,257492
2026-09-14T19:25,711.065,711.18,710.99,711.035,264831
2026-09-14T19:30,711.03,711.18,710.97,710.98,284856
2026-09-14T19:35,711.0,711.015,710.68,710.69,375551
2026-09-14T19:40,710.6987,710.93,710.665,710.78,439715
2026-09-14T19:45,710.73,711.01,710.73,710.965,921094
2026-09-14T19:50,710.92,711.0,710.07,710.2102,1320505
2026-09-14T19:55,710.21,710.21,709.09,709.18,3708283
2026-09-15T13:30,708.76,708.855,707.56,707.88,861085
2026-09-15T13:35,707.885,709.228,707.885,708.98,569066
2026-09-15T13:40,708.98,709.23,708.4,709.145,566323
2026-09-15T13:45,709.13,709.5299,708.825,708.98,435868
2026-09-15T13:50,708.965,709.1354,708.43,708.985,360141
2026-09-15T13:55,708.985,709.16,708.645,708.95,203153
2026-09-15T14:00,708.95,709.01,708.19,708.19,454812
2026-09-15T14:05,708.19,708.34,707.6,707.79,280551
2026-09-15T14:10,707.7801,707.8,706.82,706.925,418730
2026-09-15T14:15,706.93,707.43,706.865,707.24,319302
2026-09-15T14:20,707.235,707.39,705.95,706.54,389969
2026-09-15T14:25,706.57,706.8,706.2916,706.555,203967
2026-09-15T14:30,706.55,706.73,705.96,706.11,424194
2026-09-15T14:35,706.13,706.34,705.58,705.7,297986
2026-09-15T14:40,705.655,705.6599,705.3,705.585,326075
2026-09-15T14:45,705.595,705.92,705.13,705.13,301129
2026-09-15T14:50,705.1,705.195,703.906,704.475,685720
2026-09-15T14:55,704.475,704.91,704.21,704.48,333085
2026-09-15T15:00,704.475,705.54,704.475,705.54,357326
2026-09-15T15:05,705.54,705.66,705.16,705.29,219709
2026-09-15T15:10,705.285,705.45,704.95,705.275,400615
2026-09-15T15:15,705.27,705.76,705.1,705.57,202297
2026-09-15T15:20,705.58,705.77,705.135,705.575,182015
2026-09-15T15:25,705.6,705.81,705.41,705.6595,164082
2026-09-15T15:30,705.66,705.71,704.9625,705.42,229930
2026-09-15T15:35,705.46,705.63,705.2,705.21,100570
2026-09-15T15:40,705.1901,705.8048,705.1901,705.6,331373
2026-09-15T15:45,705.58,705.65,704.98,705.1,148238
2026-09-15T15:50,705.1,705.87,705.08,705.375,278074
2026-09-15T15:55,705.39,706.02,705.255,705.32,153958
2026-09-15T16:00,705.35,705.61,705.22,705.5121,164227
2026-09-15T16:05,705.47,705.5,704.571,704.67,167795
2026-09-15T16:10,704.65,704.77,704.4901,704.53,142347
2026-09-15T16:15,704.535,705.1,704.46,705.09,168357
2026-09-15T16:20,705.07,705.92,705.07,705.7887,274390
2026-09-15T16:25,705.78,705.8805,705.45,705.51,167314
2026-09-15T16:30,705.505,705.75,705.1104,705.59,183090
2026-09-15T16:35,705.5999,705.62,705.3301,705.475,67506
2026-09-15T16:40,705.46,705.549,705.25,705.39,97187
2026-09-15T16:45,705.39,705.54,705.1205,705.3344,101233
2026-09-15T16:50,705.31,705.96,705.29,705.895,145280
2026-09-15T16:55,705.9,706.0,705.27,705.44,118221
2026-09-15T17:00,705.44,705.52,704.78,704.78,202243
2026-09-15T17:05,704.76,705.17,704.6307,704.88,233505
2026-09-15T17:10,704.895,705.25,704.8,704.825,200265
2026-09-15T17:15,704.84,705.01,704.762,705.0,93906
2026-09-15T17:20,705.0,705.12,704.56,704.5718,141138
2026-09-15T17:25,704.57,704.87,704.55,704.8,127148
2026-09-15T17:30,704.81,705.13,704.725,704.9,296306
2026-09-15T17:35,704.91,705.0499,704.72,704.79,95342
2026-09-15T17:40,704.79,704.95,704.53,704.85,142815
2026-09-15T17:45,704.825,704.96,704.6,704.67,174940
2026-09-15T17:50,704.66,705.03,704.625,705.0197,287481
2026-09-15T17:55,705.0,705.1985,704.89,705.0,244682
2026-09-15T18:00,705.0,705.25,704.82,705.235,228866
2026-09-15T18:05,705.225,705.38,705.11,705.38,277643
2026-09-15T18:10,705.385,705.57,705.26,705.38,468418
2026-09-15T18:15,705.41,705.46,704.985,705.085,147727
2026-09-15T18:20,705.08,705.22,705.065,705.1699,191686
2026-09-15T18:25,705.18,705.4,705.07,705.395,160916
2026-09-15T18:30,705.3987,705.3987,704.82,704.87,160820
2026-09-15T18:35,704.8775,704.9624,704.7,704.87,244812
2026-09-15T18:40,704.875,705.13,704.65,704.68,228981
2026-09-15T18:45,704.685,704.73,704.1906,704.34,273030
2026-09-15T18:50,704.33,704.53,704.27,704.5,256954
2026-09-15T18:55,704.5,704.755,704.441,704.7304,119271
2026-09-15T19:00,704.73,704.88,704.5,704.68,216795
2026-09-15T19:05,704.68,704.78,704.54,704.72,154591
2026-09-15T19:10,704.72,704.78,704.4,704.4561,366100
2026-09-15T19:15,704.445,704.53,704.275,704.47,351151
2026-09-15T19:20,704.46,704.48,704.289,704.33,259943
2026-09-15T19:25,704.335,704.51,704.23,704.36,264702
2026-09-15T19:30,704.36,704.4278,704.225,704.24,202548
2026-09-15T19:35,704.23,704.23,703.8,703.9099,453526
2026-09-15T19:40,703.9,704.16,703.82,704.085,378326
2026-09-15T19:45,704.08,704.23,703.9458,704.195,394182
2026-09-15T19:50,704.17,704.34,703.635,704.34,765297
2026-09-15T19:55,704.31,704.645,704.08,704.54,2515607
2026-09-16T13:30,708.06,708.79,707.885,708.45,956581
2026-09-16T13:35,708.38,708.582,707.65,708.12,682076
2026-09-16T13:40,708.11,708.81,708.02,708.39,339961
2026-09-16T13:45,708.4,709.82,708.35,709.77,660281
2026-09-16T13:50,709.77,710.14,709.59,709.795,415045
2026-09-16T13:55,709.81,710.25,709.65,710.21,303789
2026-09-16T14:00,710.22,710.27,709.04,709.14,275823
2026-09-16T14:05,709.15,709.92,708.91,709.6099,252401
2026-09-16T14:10,709.595,709.76,708.75,709.52,223341
2026-09-16T14:15,709.49,710.1399,709.37,709.97,203874
2026-09-16T14:20,709.94,710.09,709.65,709.81,148025
2026-09-16T14:25,709.83,709.87,709.395,709.5801,133468
2026-09-16T14:30,709.565,709.7197,709.225,709.43,197442
2026-09-16T14:35,709.41,709.49,708.95,709.24,191718
2026-09-16T14:40,709.201,709.89,709.201,709.89,241825
2026-09-16T14:45,709.8896,710.08,709.54,709.69,390233
2026-09-16T14:50,709.69,710.035,709.52,709.8399,142053
2026-09-16T14:55,709.85,710.73,709.76,710.6579,199140
2026-09-16T15:00,710.72,711.03,710.35,710.75,295024
2026-09-16T15:05,710.74,711.55,710.52,711.42,517957
2026-09-16T15:10,711.41,711.5,710.92,711.28,226301
2026-09-16T15:15,711.311,711.311,710.62,710.91,165802
2026-09-16T15:20,710.9,711.14,710.72,711.1081,135466
