time_utc,open,high,low,close,volume
2026-08-31T15:50,293.25,293.37,293.25,293.29,78057
2026-08-31T15:55,293.28,293.335,293.1451,293.17,77099
2026-08-31T16:00,293.17,293.34,293.07,293.28,105216
2026-08-31T16:05,293.26,293.3,293.055,293.06,139805
2026-08-31T16:10,293.04,293.26,293.03,293.22,170111
2026-08-31T16:15,293.225,293.27,293.0306,293.135,89826
2026-08-31T16:20,293.135,293.18,292.96,293.0,71463
2026-08-31T16:25,293.01,293.22,292.99,293.22,80016
2026-08-31T16:30,293.24,293.24,293.1,293.12,108729
2026-08-31T16:35,293.12,293.18,292.94,292.94,178122
2026-08-31T16:40,292.94,293.27,292.92,293.145,79776
2026-08-31T16:45,293.145,293.25,293.105,293.18,73439
2026-08-31T16:50,293.175,293.24,293.06,293.08,82714
2026-08-31T16:55,293.065,293.1,293.0444,293.06,65572
2026-08-31T17:00,293.04,293.06,292.945,292.96,955068
2026-08-31T17:05,292.97,293.0,292.88,292.89,66473
2026-08-31T17:10,292.88,293.08,292.88,292.9799,226857
2026-08-31T17:15,292.9601,293.08,292.78,292.83,155702
2026-08-31T17:20,292.825,292.885,292.775,292.825,98282
2026-08-31T17:25,292.825,292.825,292.72,292.755,310919
2026-08-31T17:30,292.75,292.94,292.705,292.865,144437
2026-08-31T17:35,292.86,292.955,292.83,292.93,70104
2026-08-31T17:40,292.925,293.03,292.8905,293.02,119999
2026-08-31T17:45,293.02,293.045,292.9551,293.0,220059
2026-08-31T17:50,293.0,293.22,292.99,293.2199,210783
2026-08-31T17:55,293.23,293.255,293.13,293.17,143453
2026-08-31T18:00,293.17,293.29,293.13,293.15,262807
2026-08-31T18:05,293.13,293.17,293.05,293.06,127842
2026-08-31T18:10,293.06,293.125,293.0,293.125,67770
2026-08-31T18:15,293.14,293.18,293.0,293.01,55334
2026-08-31T18:20,293.01,293.085,292.96,293.05,45403
2026-08-31T18:25,293.04,293.08,292.89,293.03,210841
2026-08-31T18:30,293.0379,293.125,293.01,293.05,62250
2026-08-31T18:35,293.06,293.095,292.92,292.945,108493
2026-08-31T18:40,292.945,293.055,292.9,293.04,351477
2026-08-31T18:45,293.035,293.1024,292.97,293.05,121924
2026-08-31T18:50,293.05,293.195,292.99,293.14,93111
2026-08-31T18:55,293.135,293.28,293.11,293.18,92254
2026-08-31T19:00,293.2,293.3001,293.17,293.17,110851
2026-08-31T19:05,293.17,293.265,293.16,293.255,219848
2026-08-31T19:10,293.26,293.345,293.205,293.315,256466
2026-08-31T19:15,293.3041,293.34,293.215,293.235,173807
2026-08-31T19:20,293.24,293.48,293.24,293.475,118454
2026-08-31T19:25,293.48,293.63,293.445,293.55,199233
2026-08-31T19:30,293.555,293.625,293.485,293.62,236290
2026-08-31T19:35,293.615,293.8,293.605,293.7405,337624
2026-08-31T19:40,293.75,293.915,293.745,293.825,704353
2026-08-31T19:45,293.82,293.92,293.7208,293.9,335777
2026-08-31T19:50,293.9,294.34,293.9,294.15,675296
2026-08-31T19:55,294.14,294.165,293.855,293.93,2179885
2026-09-01T13:30,291.97,292.94,291.79,292.04,1014831
2026-09-01T13:35,292.06,292.15,291.365,291.63,479446
2026-09-01T13:40,291.66,291.73,291.28,291.51,366516
2026-09-01T13:45,291.5,291.63,291.23,291.63,332922
2026-09-01T13:50,291.63,291.97,291.32,291.5499,561512
2026-09-01T13:55,291.55,291.61,291.39,291.53,266129
2026-09-01T14:00,291.52,291.77,291.24,291.68,286192
2026-09-01T14:05,291.67,291.91,291.58,291.82,254159
2026-09-01T14:10,291.815,292.01,291.51,291.99,297085
2026-09-01T14:15,291.99,292.245,291.86,292.02,458462
2026-09-01T14:20,292.03,292.43,292.005,292.33,190805
2026-09-01T14:25,292.35,292.5,292.25,292.28,200266
2026-09-01T14:30,292.2831,292.73,292.28,292.73,214133
2026-09-01T14:35,292.73,292.82,292.37,292.48,185821
2026-09-01T14:40,292.485,292.56,292.35,292.4501,243237
2026-09-01T14:45,292.44,292.64,292.34,292.34,210585
2026-09-01T14:50,292.34,292.37,292.06,292.22,302464
2026-09-01T14:55,292.23,292.3,292.06,292.125,145717
2026-09-01T15:00,292.145,292.235,292.01,292.07,119716
2026-09-01T15:05,292.07,292.13,291.9401,291.95,120312
2026-09-01T15:10,291.94,292.14,291.925,292.035,180213
2026-09-01T15:15,292.03,292.03,291.885,291.92,144322
2026-09-01T15:20,291.915,291.98,291.81,291.92,424362
2026-09-01T15:25,291.945,292.045,291.84,292.0401,119894
2026-09-01T15:30,292.0301,292.12,291.9,291.96,220779
2026-09-01T15:35,291.965,292.13,291.9001,292.005,156681
2026-09-01T15:40,292.02,292.15,291.975,292.145,119614
2026-09-01T15:45,292.15,292.335,292.13,292.32,470382
2026-09-01T15:50,292.3,292.3,291.975,292.035,154368
2026-09-01T15:55,292.04,292.09,291.97,292.03,116034
2026-09-01T16:00,292.03,292.105,291.98,292.03,128720
2026-09-01T16:05,292.025,292.055,291.71,291.815,340545
2026-09-01T16:10,291.805,291.97,291.73,291.74,126357
2026-09-01T16:15,291.73,291.75,291.415,291.415,178466
2026-09-01T16:20,291.42,291.43,291.01,291.08,325584
2026-09-01T16:25,291.06,291.09,290.735,290.84,340689
2026-09-01T16:30,290.84,290.87,290.37,290.405,427454
2026-09-01T16:35,290.41,290.815,290.41,290.815,224877
2026-09-01T16:40,290.81,290.985,290.68,290.7201,246436
2026-09-01T16:45,290.74,290.91,290.7,290.805,175434
2026-09-01T16:50,290.805,290.88,290.735,290.82,173416
2026-09-01T16:55,290.83,291.08,290.83,290.93,131244
2026-09-01T17:00,290.93,290.96,290.74,290.75,176254
2026-09-01T17:05,290.74,290.805,290.64,290.7701,114004
2026-09-01T17:10,290.775,290.85,290.72,290.755,95427
2026-09-01T17:15,290.7505,290.8401,290.735,290.83,137094
2026-09-01T17:20,290.815,290.895,290.6699,290.71,67879
2026-09-01T17:30,290.82,290.97,290.82,290.87,232018
2026-09-01T17:35,290.88,290.955,290.73,290.77,127317
2026-09-01T17:40,290.76,290.89,290.76,290.85,201813
2026-09-01T17:45,290.85,290.88,290.705,290.785,173475
2026-09-01T17:50,290.78,290.8499,290.71,290.715,141250
2026-09-01T17:55,290.715,290.74,290.615,290.695,436454
2026-09-01T18:00,290.69,290.735,290.6,290.655,127139
2026-09-01T18:05,290.645,290.735,290.605,290.66,125958
2026-09-01T18:10,290.655,290.71,290.535,290.6,361643
2026-09-01T18:15,290.6,290.76,290.58,290.66,121737
2026-09-01T18:20,290.6699,290.7,290.59,290.67,134949
2026-09-01T18:25,290.65,290.7,290.51,290.545,119784
2026-09-01T18:30,290.555,290.61,290.3801,290.45,294469
2026-09-01T18:35,290.44,290.54,290.39,290.41,123042
2026-09-01T18:40,290.42,290.45,290.165,290.165,228824
2026-09-01T18:45,290.175,290.31,289.975,290.22,313767
2026-09-01T18:50,290.225,290.35,290.15,290.255,159332
2026-09-01T18:55,290.24,290.5,290.23,290.435,284951
2026-09-01T19:00,290.435,290.65,290.42,290.6,297868
2026-09-01T19:05,290.6,290.6,290.38,290.48,107756
2026-09-01T19:10,290.47,290.8,290.45,290.8,207604
2026-09-01T19:15,290.8,290.875,290.732,290.7601,199303
2026-09-01T19:20,290.765,290.77,290.62,290.675,223370
2026-09-01T19:25,290.675,290.74,290.645,290.68,124932
